sep=,
portal,cod_cliente,razao_cliente,nome_cliente,doc_cliente,tipo_cliente,endereco_cliente,numero_rua_cliente,complement_end_cli,bairro_cliente,cep_cliente,cidade_cliente,uf_cliente,pais,fone_cliente,email_cliente,sexo,data_cadastro,data_nascimento
8560,24,DISTRIHAIR LTDA (MIX-USE),DISTRIHAIR LTDA (MIX-USE),05674948000146,A,AV.CRISTOVAO COLOMBO,2405,,FLORESTA,90560-002,PORTO ALEGRE,RS,BRASIL,81585909,perfumaria02@mixuse.com.br,M,24/11/2016 02:34:00,
8560,25,SPOK(MOUSSES),SPOK(MOUSSES),999925,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,26,DIST.MED.SANTA CRUZ LTDA.(NAO USAR),DIST.MED.SANTA CRUZ LTDA.(NAO USAR),999926,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,27,CLESS COM COSM LTDA. (ESSENZA),CLESS COM COSM LTDA. (ESSENZA),06034119000161,A,ALAMEDA ARAGUAIA,2190,TORRE NORTE 15 A NDAR,TAMBORE,06460-110,BARUERI,SP,BRASIL,1121743300,leandro@lrrepresentacoes.com.br; lr@lrrepresentaco,M,24/11/2016 02:34:00,
8560,28,YOMASA DA AMAZONIA LTDA. (TANY),YOMASA DA AMAZONIA LTDA. (TANY),96573845000145,A,RUA VISCONDE DE PARNAIBA,3094,,,03044-002,BELENZINHO,SP,BRASIL,1160992500,alessandro@futurarepresentacao.com.br,M,24/11/2016 02:34:00,
8560,29,UNIAO ATAC.COM.IMP.LTDA.(HAIR),UNIAO ATAC.COM.IMP.LTDA.(HAIR),999929,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,30,REDOMA PERFUMES LTDA.(DAVENE),REDOMA PERFUMES LTDA.(DAVENE),07014536000296,A,AV.ROUXINOL,55,/ 1213,MOEMA,04516-000,SAO PAULO,SP,BRASIL,1121691100,cmileski@gmail.com,M,24/11/2016 02:34:00,
8560,31,NEW CARE DIST COSMET LTDA.(BOTANY TREE),NEW CARE DIST COSMET LTDA.(BOTANY TREE),88326434000127,A,RUA VERBO DIVINO,344,,,04719-001,SAO PAULO,SP,BRASIL,1151814144,vendas@newcarebrasil.com.br,M,24/11/2016 02:34:00,
8560,32,DICOSMA DIST.COSM.LTDA.(WELLA COM),DICOSMA DIST.COSM.LTDA.(WELLA COM),42145946000196,A,SILVIO MANFREDI,514,PARQUE CUMBICA,CENTRO,07241-000,GUARULHOS,SP,BRASIL,1164121959,ricardo.p@pg.com,M,24/11/2016 02:34:00,
8560,33,DISTRIMAX LTDA.(TRACTA),DISTRIMAX LTDA.(TRACTA),09313535000197,A,DOUTOR UBALDINO DO AMARAL,200,,BELENZINHO,03055-030,SAO PAULO,SP,BRASIL,1126944825,merkasul@terra.com.br,M,24/11/2016 02:34:00,
8560,34,SANTA CLARA MANUFATURA E COSM LTDA,SANTA CLARA MANUFATURA E COSM LTDA,57407397000158,A,BRAS DE PINA,107,111,VILA CARIOCA,04224-080,SAO PAULO,SP,BRASIL,1169143321,garciareprescosm@gmail.com,M,24/11/2016 02:34:00,
8560,35,FLOR DE LIS IND COM LTDA.,FLOR DE LIS IND COM LTDA.,999935,A,R: DO IPE 320 IDEAL,0,,,93320-040,NOVO HAMBURGO,RS,BRASIL,,flordeliscosmeticos@terra.com.br,M,24/11/2016 02:34:00,
8560,36,FATTO COM.IMP E EXP DE PROD FARM LTDA.,FATTO COM.IMP E EXP DE PROD FARM LTDA.,72264278000187,A,AV.MARINGA,4000,,,83326-010,ATUBA - PINHAIS,PR,BRASIL,55413560365,fatto@preservatex.com.br,M,24/11/2016 02:34:00,
8560,37,BRIBEL COM ART TOUCADOR LTDA (MIRURGYA),BRIBEL COM ART TOUCADOR LTDA (MIRURGYA),05675339000101,A,ESTRADA D,345,,POSSE,26210-000,NOVA IGUACU,RJ,BRASIL,2126672451,,M,24/11/2016 02:34:00,
8560,38,BELCAPIXABA PRODS BELEZA LTDA(A CAMPO),BELCAPIXABA PRODS BELEZA LTDA(A CAMPO),09338485000100,A,RUA FRANCISCO SOUZA DOS SANTOS,3,,LIMOEIRO,29164-153,SERRA,ES,BRASIL,2126672451,altair_luiz_santos@yahoo.com.br,M,24/11/2016 02:34:00,
8560,39,LIDERSUL DISTRIB DE ALIM LTDA.(CONDOR),LIDERSUL DISTRIB DE ALIM LTDA.(CONDOR),09276040000135,A,RUA: CAÍ,260,,CENTRO,94940-030,CACHOEIRINHA,RS,BRASIL,5132281502,elizangela.silveira@condor.ind.br adelar@lidersuld,M,24/11/2016 02:34:00,
8560,40,CERVOSUL DISTRIBUIDORA DE MEDICAMENTOS,CERVOSUL DISTRIBUIDORA DE MEDICAMENTOS,89543078000166,A,MARIANO DE MATOS,734,,MEDIANEIRA,90880-250,PORTO ALEGRE,RS,BRASIL,32304000,cervosul@cervosul.com.br,M,24/11/2016 02:34:00,
8560,41,DISTRIBUIDORA ORIGEM LTDA.(DIVERSOS),DISTRIBUIDORA ORIGEM LTDA.(DIVERSOS),999941,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,42,DEMORI E VARGAS LTDA.(ANACONDA)-NÃO USAR,DEMORI E VARGAS LTDA.(ANACONDA)-NÃO USAR,00917891000145,A,GUILHERME ALVES,100,SUBSOLO,,90680-000,PETROPOLIS PORTO ALEGRE,RS,BRASIL,5137376400,scopelrepres@gmail.com,M,24/11/2016 02:34:00,
8560,43,ARTEVELA INDUSTRIA DE VELA LTDA,ARTEVELA INDUSTRIA DE VELA LTDA,01764201000128,A,RUA ITATI,854,,,,PASSO FUNDO,RS,BRASIL,543152742,,M,24/11/2016 02:34:00,
8560,44,HARGUS COM PERFUMARIA LTDA.(NIELY/DPG),HARGUS COM PERFUMARIA LTDA.(NIELY/DPG),05550628000184,A,ESTRADA JOAO VENANCIO FIGUEIREDO,482,,POSS,26020-000,NOVA IGUACU,RJ,BRASIL,32128844,claudioveber@terra.com.br,M,24/11/2016 02:34:00,
8560,45,AMIGA COMERCIO COSMÉTICOS LTDA(AGIMA),AMIGA COMERCIO COSMÉTICOS LTDA(AGIMA),06187493000105,A,JUSSANE CRISTINA LEITE,18,,PQ PINHEIROS,0676726  ,TABOAO DA SERRA,SP,BRASIL,1140574397,scopelrepres@gmail.com,M,24/11/2016 02:34:00,
8560,46,ECOLOGIE COML IMP EXP E DISTLTDA,ECOLOGIE COML IMP EXP E DISTLTDA,04241509000187,A,MARECHAL DEODORO,798,,SANTA PAULA,09541-300,SAO CAETANO DO SUL,SP,BRASIL,1142271011,gctoschi@terra.com.br,M,24/11/2016 02:34:00,
8560,47,HELEN OF TROY BRASIL LTDA.(REVLON),HELEN OF TROY BRASIL LTDA.(REVLON),05299346000156,A,RUA ALCIDIO VIANA,1001,SALA 52 / 53,,83005-560,SAO JOSE DOS PINHAIS,PR,BRASIL,4130351218,gctoschi@terra.com.br,M,24/11/2016 02:34:00,
8560,48,SERGIO PARIS,SERGIO PARIS,88029244000148,A,AV.PADRE CLARET,5471,,BOA VISTA,93280-261,ESTEIO,RS,BRASIL,5534730048,empresa@sergioparis.com.br,M,24/11/2016 02:34:00,
8560,49,DOARBELLEZA PROD DE BELEZA. (EMBELLEZE),DOARBELLEZA PROD DE BELEZA. (EMBELLEZE),04850445000200,A,ESTRADA DA PRATA,476,PARTE,AREIA BRANCA,26135-005,BELFORD ROXO,RJ,BRASIL,02126682025fin,afuturo@vendasembelleze.com,M,24/11/2016 02:34:00,
8560,50,SANIS COM IMP EXP (USAGE/UNFRIZZ),SANIS COM IMP EXP (USAGE/UNFRIZZ),05162657000179,A,RUA SOLON,433,,BOM RETIRO,01127-010,SAO PAULO,SP,BRASIL,1133570988,viviane@sanis.com.br,M,24/11/2016 02:34:00,
8560,51,BLONDY COSM IND COM LTDA(BLONDY),BLONDY COSM IND COM LTDA(BLONDY),999951,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,52,NAO USAR ESTE FORNECEDOR.,NAO USAR ESTE FORNECEDOR.,999952,A,BASTOS PEREIRA,363,VILA NOVA CONCEICAO,,04507-011,SAO PAULO,SP,BRASIL,1130522445,ox.vendas@uol.com.br,M,24/11/2016 02:34:00,
8560,53,MULTIMARCAS DIST ARTIGOS DE PERF(EXTASE),MULTIMARCAS DIST ARTIGOS DE PERF(EXTASE),12779728000142,A,JOSÉ FARIAS MOREIRA,58,,VILA GUARANI,12950-400,GUARULHOS,SP,BRASIL,,fydry@terra.com.br,M,24/11/2016 02:34:00,
8560,54,LOREAL,LOREAL,30278428001800,A,ROD RIO-MAGE,4791,GALPAO 01,CIDADE NOVA CAMPINA,21521-460,DUQUE DE CAXIAS,RJ,BRASIL,3003135151,rfchaves@br.loreal.com;cadastro@lojasbelshop.com.b,M,24/11/2016 02:34:00,
8560,55,APOTHEKER IND FARM LTDA(SILICON),APOTHEKER IND FARM LTDA(SILICON),57436842000108,A,RUA PEDRO TARGA,350,,JURUCE,14680-000,JARDINOPOLIS,SP,BRASIL,1636273236,roller1@via-rs.net,M,24/11/2016 02:34:00,
8560,56,BELLIZ IND COM IMP EXP EIRELI,BELLIZ IND COM IMP EXP EIRELI,06940040000108,A,AV ACESSO RODOVIARIO,0,QD2 MOD8,TIMS,29161-376,SERRA,ES,BRASIL,2733418136,roller1@via-rs.net,M,24/11/2016 02:34:00,
8560,57,DISCOMED C.P.H.L(MURIEL),DISCOMED C.P.H.L(MURIEL),999957,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,58,BONMETIQUE COSMETICA CAPILAR,BONMETIQUE COSMETICA CAPILAR,999958,A,,0,,CENTRO,,PORTO ALEGRE,RS,BRASIL,,bonmetique@hotmail.com,M,24/11/2016 02:34:00,
8560,59,ESATTO COM.REP.LTDA(ALICATES),ESATTO COM.REP.LTDA(ALICATES),03074667000127,A,PEREIRA FRANCO,168,SALA 205,,90240-520,SAO JOAO- POA,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,60,TRADE SUL DIST COSM LTDA.(SOLIGEN),TRADE SUL DIST COSM LTDA.(SOLIGEN),07182834000104,A,VOLUNTARIOS DA PATRIA,3777,108,CENTRO,,PORTO ALEGRE,RS,BRASIL,5130235403,ilson.bressan@terra.com.br,M,24/11/2016 02:34:00,
8560,61,LEMOS E AVILA LTDA (ITELY),LEMOS E AVILA LTDA (ITELY),07326388000164,A,AV JOSE BONIFACIO,741,207,FARROUPILHA,90040-130,PORTO ALEGRE,RS,BRASIL,,leomaritely@hotmail.com,M,24/11/2016 02:34:00,
8560,62,NOLISA COM PERF&COSM LTDA.(KARINA),NOLISA COM PERF&COSM LTDA.(KARINA),87103867000150,A,RUA JARI,201,E 211 PASSO DÁREIA,,91350-170,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,63,NAO USAR,NAO USAR,05540037000126,A,AV.PRESIDENTE WILSON,5080,FUNDOS,,04220-001,VILA INDEPENDENCIA,SP,BRASIL,1161667400,ELÔ(0800-7717500),M,24/11/2016 02:34:00,
8560,64,COSM CRISMAS LTDA.(MAX LOVE)NAO USAR,COSM CRISMAS LTDA.(MAX LOVE)NAO USAR,999964,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,65,NUGGETS IND COM LTDA - ALPH,NUGGETS IND COM LTDA - ALPH,42866277000141,A,RUA ANFIBOLIOS,253,LT A   BONFIM,,31210-440,BELO HORIZONTE,MG,BRASIL,3133542639,executhiva_pazzini@hotmail.com,M,24/11/2016 02:34:00,
8560,66,ARMARINHOS PARANA SANTA CATARINA LTDA,ARMARINHOS PARANA SANTA CATARINA LTDA,75281360000108,A,AV.MINAS GERAIS,4000,B,VILA SAO MIGUEL,86812-490,APUCARANA,PR,BRASIL,4321028000,ricardonos67@yahoo.com.br,M,24/11/2016 02:34:00,
8560,67,ELLO IND E COMERCIO (TOUCA DOVER),ELLO IND E COMERCIO (TOUCA DOVER),55778450000100,A,CINCINATO JADIM DO VALE,363,,BEIRAL DAS PEDRAS,12941-000,ATIBAIA,SP,BRASIL,45861860,,M,24/11/2016 02:34:00,
8560,68,BIOGEN IM.EXP.LTDA.,BIOGEN IM.EXP.LTDA.,999968,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,69,LABOR SKLEAN DO BRASIL LTDA(KEVIN NICHOL,LABOR SKLEAN DO BRASIL LTDA(KEVIN NICHOL,62635669000107,A,AV.LOURENÇO BELLOLI,1010,,PQ IND MAZZEI,06268-110,OSASCO,SP,BRASIL,1136042600,merkasul@terra.com.br,M,24/11/2016 02:34:00,
8560,70,BIM COMERCIO DE COSMETICOS LTDA(REVLON),BIM COMERCIO DE COSMETICOS LTDA(REVLON),08891216000104,A,ALAMEDA  JUARI559-SALAO 3,0,,COND ARMAZENS,06460-090,TAMBORE-BARUERI,SP,BRASIL,1141341988,ideli_rodrigues@ig.com.br,M,24/11/2016 02:34:00,
8560,71,CONNEXION IMP EXP.LTDA(COMODYNES),CONNEXION IMP EXP.LTDA(COMODYNES),999971,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,72,DERMABEL CPC LTDA.(AMPOLAS),DERMABEL CPC LTDA.(AMPOLAS),62713037000114,A,RUA ALVES DE ALMEIDA,760,,VILA FORMOSA,03378-010,SAO PAULO,SP,BRASIL,1122166992,executhiva_pazzini@hotmail.com,M,24/11/2016 02:34:00,
8560,73,MV COSMÉTICOS (SPRAY ALLWAVES),MV COSMÉTICOS (SPRAY ALLWAVES),12143112000180,A,RUA SANTANA,751,LOJA 02,FARROUPILHA,90040-373,PORTO ALEGRE,RS,BRASIL,5134663935,eliseucosta@computech.com.br,M,24/11/2016 02:34:00,
8560,74,DIST COSM ROD LTDA.(BONYPLUS),DIST COSM ROD LTDA.(BONYPLUS),999974,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,75,MILENIO ALIMENTOS LTDA,MILENIO ALIMENTOS LTDA,09022766000141,A,JULIO VERNE,1025,,STA MARIA GORETTI,91030-320,PORTO ALEGRE,RS,BRASIL,33414088,nadia.asf@gmail.com,M,24/11/2016 02:34:00,
8560,76,ELAINE (MAQ PANASONIC),ELAINE (MAQ PANASONIC),999976,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,elainero02@gmail.com,M,24/11/2016 02:34:00,
8560,77,DEPILISA LAB COSM LTDA.,DEPILISA LAB COSM LTDA.,999977,A,AV.JABAQUARA,2009,,SAO PAULO,04045-003,SAO PAULO,SP,BRASIL,1155897344,depilisa@depilisa.com.br,M,24/11/2016 02:34:00,
8560,78,PISAIMPORT IMP. E DIST. (LUIS YANCE),PISAIMPORT IMP. E DIST. (LUIS YANCE),08710039000104,A,BENEFICENCIA PORTUGUESA,24,1017,CENTRO,01033-020,SAO PAULO,SP,BRASIL,,boris@orgt.com.br,M,24/11/2016 02:34:00,
8560,79,COSMOPER COSM E PERFUMARIA.(KANITZ),COSMOPER COSM E PERFUMARIA.(KANITZ),02960071000161,A,RUA PIRAJU 255 SANTA MARIA GORETTI,0,,,91030-190,PORTO ALEGRE,RS,BRASIL,3625008,,M,24/11/2016 02:34:00,
8560,80,JOHNSUL COML.LTDA.(B.BOAT),JOHNSUL COML.LTDA.(B.BOAT),999980,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,81,CREMER SA,CREMER SA,82641325001947,A,AV. DAS INDUSTRIAS 1345 SAO JOAO,0,,,9020029  ,PORTO ALEGRE,RS,BRASIL,8007013080,,M,24/11/2016 02:34:00,
8560,82,GEMA DISTR.DE MED.LTDA.,GEMA DISTR.DE MED.LTDA.,999982,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,83,MEGALITI DISTRIB ALIMENTOS(ELKE),MEGALITI DISTRIB ALIMENTOS(ELKE),08975256000126,A,SÃO FRANCISCO,528,,NOSSA SENHORA DOS GRAÇAS,92025-410,CANOAS,RS,BRASIL,,jordeco1@hotmail.com,M,24/11/2016 02:34:00,
8560,84,CENTRAL GAUCHA DE COSM.LTDA.,CENTRAL GAUCHA DE COSM.LTDA.,999984,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,85,PRO-COSMETICA (NUTRILINE),PRO-COSMETICA (NUTRILINE),05238620000187,A,CAPISTRANO DE ABREU,133,,NITERÓI,92120-160,CANOAS,RS,BRASIL,5134757390,Mary : maryburhalde@terra.com.br - regionalsul@pro,M,24/11/2016 02:34:00,
8560,86,PEPLASTIC IND.COM.PLAST  (RANDAY),PEPLASTIC IND.COM.PLAST  (RANDAY),50582394000101,A,RUA PADRE FAUSTINO,100,VILA PRUDENTE,VILA PRUDENTE,03150-090,SAO PAULO,SP,BRASIL,1123478200,vanderleysilveirasilva@gmail.com,M,24/11/2016 02:34:00,
8560,87,AMARILIS PRODUTOS NATURAIS LTDA.,AMARILIS PRODUTOS NATURAIS LTDA.,999987,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,88,MIL DOCES IC NASC CHAVES(B0MBONIERE,MIL DOCES IC NASC CHAVES(B0MBONIERE,999988,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,89,NAZCA DISTRIBUIDORA COSM LTDA (ORIGEM),NAZCA DISTRIBUIDORA COSM LTDA (ORIGEM),08509682000174,A,AV PARANAPANEMA,69,,TABOAO,0993045  ,DIADEMA,SP,BRASIL,1140616000,luizschiavon@nazca.com.br,M,24/11/2016 02:34:00,
8560,90,IKESAKI(DIVERSOS),IKESAKI(DIVERSOS),01505662000186,A,AV.MORVAN DIAS DE FIGUEIREDO,2875,,VILA MARIA,02063-000,SAO PAULO,SP,BRASIL,1169053041,,M,24/11/2016 02:34:00,
8560,91,DMAE,DMAE,999991,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,92,CHANTAL(PROTESES),CHANTAL(PROTESES),56216781000100,A,RUA: GENERAL CHAGAS SANTOS 62 SAUDE,0,,,04146-050,SAO PAULO,SP,BRASIL,112762898,vendas@chantal.com.br,M,24/11/2016 02:34:00,
8560,93,PERCAP PERFUMES CAPITAL LTDA.,PERCAP PERFUMES CAPITAL LTDA.,91464339000102,A,R: DONA ALZIRA,173,,SARANDI,91110-010,PORTO ALEGRE,RS,BRASIL,5133443435,percap@terra.com.br,M,24/11/2016 02:34:00,
8560,94,EVO IND.COM.COSM.LTDA.(EVO),EVO IND.COM.COSM.LTDA.(EVO),999994,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,95,C KAMURA,C KAMURA,03918386000103,A,RUA PARAIBA DO SUL,88,,AMERICANOPOLIS,04412-100,SAO PAULO,SP,BRASIL,1156219667,zanatta1975@gmail.com;cadastro@lojasbelshop.com.br,M,24/11/2016 02:34:00,
8560,96,RASKALO LIXAS LTDA,RASKALO LIXAS LTDA,87395844000167,A,R: PEDRO GIACOMET,2546,,BELA VISTA,95076-350,CAXIAS DO SUL,RS,BRASIL,5432811447,severo.representante@hotmail.com,M,24/11/2016 02:34:00,
8560,97,NAO USAR ESTE FORNECEDOR.,NAO USAR ESTE FORNECEDOR.,03494954000196,A,RUA VOLUNTARIOS DA PATRIA,2252,,FLORESTA,90230-010,PORTO ALEGRE,RS,BRASIL,5133159166,rsdistribuidora@terra.com.br,M,24/11/2016 02:34:00,
8560,98,MEMPHIS S.A (DIAVOLO-COML),MEMPHIS S.A (DIAVOLO-COML),999998,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,99,CICLON COMER ATAC (DEPIMIEL CERAS),CICLON COMER ATAC (DEPIMIEL CERAS),23294828000103,A,MARIA LUCIA GUENO ANDRADE,153,SALA 33,SAO DIMAS,83411-118,COLOMBO,PR,BRASIL,4130133600,scopelrepres@gmail.com,M,24/11/2016 02:34:00,
8560,100,ANNY CAE LTDA.(STAM),ANNY CAE LTDA.(STAM),43291517000190,A,RUA FREDERICO OZANAN,187,,PONTE GRANDE,07033-020,GUARULHOS,SP,BRASIL,1164213511,stam_anny@yahoo.com.br,M,24/11/2016 02:34:00,
8560,101,COSMSUL DIST LTDA. ALFAPARF-YELLOW,COSMSUL DIST LTDA. ALFAPARF-YELLOW,09234724000174,A,SALVADOR PINHEIRO,927,,VILA JARDIM,94520-080,PORTO ALEGRE,RS,BRASIL,5133432003,cosmsul@gmail.com;financeiro@cosmsul.com.br,M,24/11/2016 02:34:00,
8560,102,DYSTRYMARCAS DIST/HYPERMARCAS . (RISQUE),DYSTRYMARCAS DIST/HYPERMARCAS . (RISQUE),02932074004260,A,AV C,0,RD403 LT 14,JARDIM AMERICA,74275-010,GOIANIA,GO,BRASIL,5139041500,,M,24/11/2016 02:34:00,
8560,103,BRASITECH GAMA AM,BRASITECH GAMA AM,07293118000102,A,RUA PALMEIRA DO MIRITI,1591,PARTE A,GILBERTO MESTRINHO,69075-215,MANAUS,AM,BRASIL,2733383279,leandro@lrrepresentacoes.com.br; lr@lrrepresentaco,M,24/11/2016 02:34:00,
8560,104,IPTU,IPTU,9999104,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
8560,105,BIOTECNOLOGY(OXYLESS),BIOTECNOLOGY(OXYLESS),05090844000194,A,AL.2º SARGENTO ASSAD FERES 189,0,,,02176-030,PQ.NOVO MUNDO -MUN.SP,SP,BRASIL,,pjacques@terra.com.br,M,24/11/2016 02:34:00,
8560,106,RAGUSA DIST COSM LTDA. (MARCIA COSM).,RAGUSA DIST COSM LTDA. (MARCIA COSM).,9999106,A,,0,,,,PORTO ALEGRE,RS,BRASIL,32323670,vanderleysilveira@bol.com.br,M,24/11/2016 02:34:00,
8560,107,BC COSMETICOS LTDA,BC COSMETICOS LTDA,60474541000183,A,RUA: JOSE KRYSS 284 BARRA FUNDA,0,,,01140-050,SAO PAULO,SP,BRASIL,,,M,24/11/2016 02:34:00,
8560,108,AMETISTA INDUSTRIAL E COMERCIAL LTDA,AMETISTA INDUSTRIAL E COMERCIAL LTDA,02298921000108,A,ESTADOS UNIDOS 1900A PARQUE INDUSTRIAL,0,,,17606-020,TUPA,SP,BRASIL,144411955,ametista@tupanet.com.br,M,24/11/2016 02:34:00,
8560,109,GREICE FERST D.O. SHONES HAAR (F BRASIL),GREICE FERST D.O. SHONES HAAR (F BRASIL),11766733000158,A,RUA SERGIPE,151,,PARQUE 35,92500-000,GUAIBA,RS,BRASIL,4733507394,,M,24/11/2016 02:34:00,
8560,110,LEPAPIE FACT FOMENTO COM LTDA (BELS),LEPAPIE FACT FOMENTO COM LTDA (BELS),55846786000154,A,RUA ARMANDO ENDRES,794,,VILA GALVAO,07030-010,GUARULHOS,SP,BRASIL,1164528157,eliseucosta@computech.com.br,M,24/11/2016 02:34:00,
8560,111,NATURELLE IND COM LTDA.,NATURELLE IND COM LTDA.,9999111,A,,0,,,,PORTO ALEGRE,RS,BRASIL,,,M,24/11/2016 02:34:00,
